"Month","State.Postal.Code","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips.1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips.500","year"
"1",1,"AK",5399652,17460926,82339431,23645949,22532312,11155673,11866106,8358807,3435007,878598,248153,92743,126083,2020
"2",1,"AL",26770055,124753946,480750893,101832902,117792357,64827333,80032764,76060130,26067650,9515830,3624199,821462,176266,2020
"3",1,"AR",17371714,76056861,293317065,66757724,76148638,37376510,45477006,42529102,15629624,6229720,2512763,550424,105554,2020
"4",1,"AZ",45190744,177130282,753096761,197653830,184830569,91576417,113039399,114711941,34340751,9905997,5446645,956223,634989,2020
"5",1,"CA",235705944,990562451,4363563404,1201920760,1124731985,513391199,619980043,593917644,213113789,68977537,20929788,4408400,2192259,2020
"6",1,"CO",38495987,138066497,739278153,189005336,189375676,90555520,113166703,108927439,30961967,11508010,3861302,987979,928221,2020
"7",1,"CT",23175797,87576818,398979992,94538788,104588130,49645020,59914733,61249950,21195614,6140915,1151270,224709,330863,2020
"8",1,"DC",6541273,15234832,96281153,35013856,24038149,13447205,13817287,7703154,1641327,311412,136410,70827,101526,2020
"9",1,"DE",6354043,23628258,107735256,25610817,26544387,13657726,17501068,16135469,6068440,1732498,429804,30747,24300,2020
"10",1,"FL",118909555,541369520,2274729020,585614128,576346316,295306371,361608274,319807847,92752495,26872151,11813759,2646243,1961436,2020
"11",1,"GA",62824272,263279453,1126996644,257538390,274244840,140129880,182084711,175734189,65006389,19107885,9653844,2517925,978591,2020
"12",1,"HI",8598745,35436476,154757713,46247885,41099539,18098587,21889511,23773400,2759687,588321,171220,58001,71562,2020
"13",1,"IA",21075254,76765241,338392766,83879054,91751285,39556027,46788037,46642106,18591907,7236342,3191505,542789,213714,2020
"14",1,"ID",11389063,42991385,180607318,45884759,50700309,22363497,25979204,22545903,8070063,3101057,1553847,288271,120408,2020
"15",1,"IL",86438170,308535310,1492848052,391534504,374957176,179635353,223233289,218588345,75423759,17764511,8433868,2103551,1173696,2020
"16",1,"IN",42757277,164690941,763181769,184466897,193634516,95698217,118102896,114157016,38633272,12109851,4839272,1045797,494035,2020
"17",1,"KS",19425340,70831315,315014012,79544834,84963222,37716608,44016543,42761180,15815546,6083787,3161397,686484,264411,2020
"18",1,"KY",28422041,110098421,537737694,123307333,136724253,70580190,85341586,80176238,27246139,9499789,3964988,664676,232502,2020
"19",1,"LA",27156100,117303218,532044982,131862990,133839885,67965693,86025844,71635966,25270782,10610286,3875807,701155,256574,2020
"20",1,"MA",48514569,165452050,929784996,239834425,244101606,115329130,137811001,136361299,44015527,9515671,1807243,348170,660924,2020
"21",1,"MD",37657684,149666574,686962505,173394809,161138540,79769513,108235456,113949613,38067757,8610796,2786513,572084,437424,2020
"22",1,"ME",9413132,32077392,139866652,29511894,34701557,17665729,21556171,23606753,9077990,2776167,786473,94448,89470,2020
