"Month","State.Postal.Code","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips.1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips.500","year"
"23",1,"MI",65007383,244865982,1103146329,269816891,271166940,135307773,172701193,172333739,57290125,16395305,6062827,1388267,683269,2020
"24",1,"MN",35749573,138196976,581392801,140461819,139412650,66380907,85736962,98024973,33507514,11383449,5043363,824750,616414,2020
"25",1,"MO",41247354,148672658,635362150,151136267,160358072,75596719,97101894,99713943,34519427,10166703,5217318,1110337,441470,2020
"26",1,"MS",15947878,76634552,288055878,65375945,72802362,34351842,44783878,43505005,16809709,6758149,2921404,626289,121295,2020
"27",1,"MT",7928737,25002718,107968634,30028317,31351374,12871912,13420277,11115321,5018892,2698003,1160703,187149,116686,2020
"28",1,"NC",61177871,260714349,1164680123,252809831,289988739,151431135,194527373,186284992,60502395,18841712,8095761,1597489,600696,2020
"29",1,"ND",5111353,18451034,75575435,19928933,21969204,10167704,9291377,6898542,3551408,2414406,1101498,184839,67524,2020
"30",1,"NE",12602079,47205229,205280084,50814253,55620143,26206208,30875064,25751101,9024379,4570209,1906182,368577,143968,2020
"31",1,"NH",8614466,33435732,162946475,34185692,39014673,19535082,25163378,29284088,12092548,3102984,460639,48303,59088,2020
"32",1,"NJ",60696445,215467675,1084506438,296495236,272199317,128586920,158693100,155398280,53376010,14572463,3867607,735037,582468,2020
"33",1,"NM",13230769,51727499,272264443,69230882,74883480,35557012,41093098,29884181,11793612,6501557,2616310,569590,134721,2020
"34",1,"NV",19576294,74489858,336975885,93130263,83704058,42673748,56517300,46677021,8057190,3377092,2124050,480573,234590,2020
"35",1,"NY",157717080,448091399,2513242621,714062355,621835088,308084948,389609433,348877598,93260180,26104637,8263340,1506863,1638179,2020
"36",1,"OH",75360241,287012461,1304310075,319593163,320803898,158923033,207771034,209790977,60897494,17996940,6439304,1402140,692092,2020
"37",1,"OK",24489465,97745984,409874387,99934823,104248898,48873106,61542754,63510444,20257189,7703747,3085417,539811,178198,2020
"38",1,"OR",29090811,100821292,482557368,134344854,133305630,60037394,64861078,62392671,18151820,6709141,2020516,397333,336931,2020
"39",1,"PA",86827470,310191390,1400026144,360564472,350437572,173154948,219284795,206121605,60821338,19824790,8040764,1191266,584594,2020
"40",1,"RI",6776140,26000625,122430900,30627983,32174463,15000838,18773831,18657684,5751254,1079366,239005,58435,68041,2020
"41",1,"SC",29057016,128550921,551495560,122311961,137331403,71465839,91261425,88708468,26633444,8660851,4062326,788660,271183,2020
"42",1,"SD",5879427,21469858,91410367,23265266,25519562,11382851,12195326,10307447,4875453,2460596,1140665,187408,75793,2020
"43",1,"TN",40733984,169136326,732187682,164358676,181577628,92080711,117929944,119426003,37805652,11965109,5190727,1403279,449953,2020
"44",1,"TX",158139213,731617982,2935283645,722388879,733830146,357373624,444607689,445280316,153370804,49099384,22125788,5064605,2142410,2020
"45",1,"UT",20597691,77396564,390164051,101404850,102154944,50077087,57989990,50508098,17971506,5442775,3568144,739528,307129,2020
"46",1,"VA",52355664,211692571,989553159,244672932,243845876,123211305,155241716,151558952,48713462,15110377,5505818,1102155,590566,2020
"47",1,"VT",4417070,14998199,74990497,16804497,19813255,9966640,10482296,11932185,4535137,1090210,282549,40846,42882,2020
"48",1,"WA",49637569,183965752,830346915,224860470,216835093,100302607,123216451,116199119,34706345,9544034,3339587,553733,789476,2020
"49",1,"WI",36348370,143872238,615557704,141609861,153359685,75632408,96032758,95665951,35226477,11780742,4997727,842465,409630,2020
"50",1,"WV",13034628,42946164,194683873,46484976,50716566,24518269,29494077,27833648,10485498,3625595,1286931,189295,49018,2020
"51",1,"WY",4239519,13670328,69692406,18902811,20772135,9320510,7039576,5679559,4255792,2537101,1018133,118381,48408,2020
"52",2,"AK",4774232,16611470,78828130,21746371,21191420,10533670,11888369,8261345,3474191,988188,339596,154163,250817,2020
"53",2,"AL",23760166,117988093,478396549,100629774,117230368,64096891,79235247,75083286,25843456,10187249,4702841,1013659,373778,2020
"54",2,"AR",15189940,72210985,293798846,65350774,76802245,37892490,46143388,42117539,15356949,6332410,2829666,742362,231023,2020
"55",2,"AZ",41430011,166547723,727223354,186988850,173442025,87789380,111037498,114393293,34882632,10046292,6066121,1438388,1138875,2020
"56",2,"CA",222606608,924547697,4201518123,1141728428,1066074403,495004641,598211756,573973756,213398040,75212250,26230856,6386992,5297001,2020
"57",2,"CO",35271135,129900221,702471364,172873507,177700856,87357524,109870563,105681803,29773465,12158713,4095578,1092752,1866603,2020
"58",2,"CT",20486150,83121135,364533378,85121421,95072533,45237157,54862585,54973966,19657955,6769490,1940309,363908,534054,2020
"59",2,"DC",5901189,14470006,89156850,31818114,22306904,12225348,12745114,7291894,1814055,378889,260579,125414,190539,2020
"60",2,"DE",5394125,22653834,95552298,21724008,23339650,12157759,15807280,14381367,5463444,1867530,637426,87829,86005,2020
"61",2,"FL",108443865,509236560,2064730003,515931130,524336117,270124231,330932050,290458129,86000845,27863101,13233215,3081515,2769670,2020
"62",2,"GA",54606943,250457832,999399909,216371633,243546368,126227725,165472159,156969152,58435782,18154092,9929782,2750824,1542392,2020
"63",2,"HI",8061277,33132962,148137130,43393185,39458892,17585986,20663329,23204794,2680605,578363,294042,100696,177238,2020
"64",2,"IA",18220732,73307473,340143152,82949963,89784484,40051056,46934038,47501434,19505349,8022143,4070424,854684,469577,2020
"65",2,"ID",10050730,40821302,172010967,42564977,46220365,21609587,25388699,22386409,7993241,3264026,1778531,499309,305823,2020
"66",2,"IL",77918196,291573124,1478744351,382245076,368491694,177532217,219077991,217377005,77792421,19835756,10759868,3200454,2431869,2020
"67",2,"IN",37684686,156379776,705808251,164236295,179190792,89493049,109909096,105834661,36308985,12505430,6068489,1375465,885989,2020
"68",2,"KS",17239936,67193709,320093570,79943740,85798697,38009850,44965563,43705962,16354904,6492872,3546809,803126,472047,2020
"69",2,"KY",25147246,104436412,484715139,104895470,123342966,64564569,78205547,72837714,25364422,9413981,4590515,1019920,480035,2020
"70",2,"LA",24415563,110723799,534487051,131940036,134505531,68437916,85917687,71564104,25288781,11025911,4351262,973241,482582,2020
"71",2,"MA",43553138,156609183,843672948,214299180,220406526,104840035,125617081,121619305,40615356,10906036,3424824,656068,1288537,2020
"72",2,"MD",32989638,142249184,632388650,153272798,148263391,75369841,102238046,103980456,35628129,8889538,3167322,756724,822405,2020
"73",2,"ME",8118787,30694929,127168543,25510173,31616712,16436623,19683413,21334984,8119507,2944184,1138288,191501,193158,2020
"74",2,"MI",57240782,232640753,1016426893,241238785,246201936,125127519,160040158,160544741,54470532,17482028,7947079,1840748,1533367,2020
"75",2,"MN",31690468,131033723,593292503,145323198,140478975,66657753,86635798,99547490,34177937,12339259,5710914,1189384,1231795,2020
"76",2,"MO",36626449,141040659,632018413,148217797,157631152,75534571,96618021,99387290,35179651,10943090,5992223,1647213,867405,2020
"77",2,"MS",14032130,72577240,288044640,64105236,72433701,34939212,45009950,43067626,16863882,7100137,3447000,814328,263568,2020
"78",2,"MT",6867245,23939600,103560141,27617924,29077396,12306642,12887867,12238035,4982472,2688158,1267288,262408,231951,2020
"79",2,"NC",53770964,247354016,1031935920,213750832,253903970,135829354,175908536,167005248,54402323,18459955,9330883,2110313,1234506,2020
"80",2,"ND",4395917,17646316,73964791,18979186,20833908,9738427,9466437,7215778,3614808,2502645,1212593,257291,143718,2020
"81",2,"NE",10890351,45058421,207667773,51409611,55146747,26409525,31389604,25917691,9260138,4950065,2326600,547935,309857,2020
"82",2,"NH",7460793,31876489,142222784,28311473,34675414,17486960,21849873,24805061,10507843,3407450,850213,126925,201572,2020
"83",2,"NJ",53509141,204837939,975448399,257647907,243943469,116823155,145376527,140161152,49321232,15454413,4559769,953924,1206851,2020
"84",2,"NM",11776644,48990768,261470925,64630787,70326455,33970164,39852298,30755447,11532836,6513891,2825685,731179,332183,2020
"85",2,"NV",18239028,69758340,320264545,87202029,78425812,40358181,54524777,44869483,7716045,3363430,2395205,873019,536564,2020
"86",2,"NY",141866800,424857261,2348370784,663829825,582960714,287888420,361612873,320201681,87271709,27855030,11046914,2492327,3211291,2020
"87",2,"OH",67119082,271874736,1197522788,285758236,296355964,146037303,189825134,191396862,57175118,18825613,8592407,2109123,1447028,2020
"88",2,"OK",21947712,92401579,408282001,98448743,103631011,49481869,61411004,62240193,20019411,8083522,3871750,747975,346523,2020
"89",2,"OR",25977841,95552836,470149856,128188616,125953665,58290446,65571430,61933125,18455090,7320774,3068281,595372,773057,2020
"90",2,"PA",76008981,295395759,1306749989,328265066,327927912,164295632,205641417,189516403,57554171,20912186,9358413,1872118,1406671,2020
"91",2,"RI",6073475,24588660,110199501,27322399,28976256,13805312,16696194,16138840,5220170,1389307,431169,89264,130590,2020
"92",2,"SC",25122091,122317592,494256370,104327587,123353302,65323002,83934245,79384246,23804157,8120102,4595402,935120,479207,2020
"93",2,"SD",5033702,20551113,91818688,23038242,24942689,11349814,12427336,10741127,4925239,2627338,1319442,301131,146330,2020
"94",2,"TN",35701745,160628545,694157093,150013406,171865396,88149160,113179516,113401887,36296652,11887632,6521183,1901858,940403,2020
"95",2,"TX",141899618,690453887,2905610572,706602466,722807227,353177509,440107989,440992300,154808439,50747047,25458617,7197266,3711712,2020
"96",2,"UT",18455283,73216762,370363576,93055048,94858412,46673875,55513635,49904176,18539819,6032675,3707650,1278256,800030,2020
"97",2,"VA",45981499,201031366,896341269,214461368,220055853,114028473,143770656,136525191,43638679,14851144,6354779,1491767,1163359,2020
"98",2,"VT",3759894,14402777,66567160,14504573,17043183,8762883,9835124,10362989,4174164,1178779,504589,98116,102760,2020
"99",2,"WA",43700620,174831519,815002338,215963514,203405084,98143131,123847159,118323706,36906165,11045222,4805689,904321,1658347,2020
"100",2,"WI",32499313,136094159,615099728,139579265,151241675,76172114,96157615,94741420,35752180,13056794,6241824,1234910,921931,2020
"101",2,"WV",11010900,41358228,169834500,36398976,43313176,22094699,27193777,25474123,9786089,3735378,1435452,284725,118105,2020
"102",2,"WY",3714274,13040099,65935273,17166799,19208269,8595209,6991060,6010928,4204943,2423827,1062569,172496,99173,2020
"103",3,"AK",6243309,16617269,68239881,19043203,19292016,8545293,9707983,6916409,3065137,1011020,313045,144266,201509,2020
"104",3,"AL",29150919,122373082,480352430,109232791,119735778,62670031,76314252,71723117,24913468,9778113,4786293,953499,245088,2020
"105",3,"AR",18350468,75078107,287377563,65596411,75343163,36183598,44165665,40982003,14711725,6286921,3261352,696704,150021,2020
"106",3,"AZ",55090267,167230759,650409802,193890228,148898715,70941341,89513659,96555006,31841846,10103472,6488646,1345118,831771,2020
"107",3,"CA",306059229,920209166,3480038727,984396693,878819109,386772622,470835899,469765564,181570302,69823241,28272670,6318560,3464067,2020
"108",3,"CO",46981851,129580633,624863460,173614078,153093232,71183275,91041986,90506625,26379796,11646320,4665407,1343013,1389728,2020
"109",3,"CT",27189094,83563521,368256966,91818666,97408837,44434863,53066971,53948047,19062857,6064017,1490399,333199,629110,2020
"110",3,"DC",7300180,14475925,91998538,35239459,22982806,12073204,12340538,7017270,1569121,387901,154224,110331,123684,2020
"111",3,"DE",7133471,22848830,97726940,24127852,24449257,12032313,15166520,13936123,5449222,1812883,617196,68397,67177,2020
"112",3,"FL",146541981,513737094,2102457059,556002957,546390595,265015083,320626025,282742451,85007695,27232569,13873304,3505168,2061212,2020
"113",3,"GA",72634487,253469238,1093118804,267043595,266408386,130603055,169773750,161829751,61332786,20258506,11552632,3080851,1235492,2020
"114",3,"HI",10702985,33332236,115362187,33663174,30823077,13436571,16031929,18260428,2133616,512754,260492,96913,143233,2020
"115",3,"IA",22552131,75288364,320504348,81924496,82658711,36135296,43127209,44167039,18057461,8064729,5140332,953744,275331,2020
"116",3,"ID",13034584,41345864,152107217,40148950,39605898,17596430,21801217,19721938,7244738,3179114,1959470,633155,216307,2020
"117",3,"IL",100500820,294472660,1361436391,371125530,337747349,157494508,193567639,193818745,70588612,20216228,11817078,3212601,1848101,2020
"118",3,"IN",49305054,158143164,708257149,180953541,177758614,85012433,103943222,102515158,35862664,13299175,6659715,1445659,806968,2020
"119",3,"KS",21810185,68446470,297577843,76152740,78882978,34193719,40686756,40674388,15271114,6414078,4106066,868421,327583,2020
"120",3,"KY",32227994,106292468,500576699,117051014,126781169,64307988,77810600,72689661,25299172,10153618,5091409,985882,406186,2020
"121",3,"LA",30117387,114341931,515310870,128565309,131215018,64983741,80756909,68543509,24544651,10977245,4471601,934467,318420,2020
"122",3,"MA",56860846,157105773,833736424,222844443,221875736,100436257,118895642,115801536,38620687,10444976,2807695,625982,1383470,2020
"123",3,"MD",43712851,143611407,656065987,174914005,155255931,75993970,99943543,100993833,35014115,9478784,3034659,790327,646820,2020
"124",3,"ME",10168358,31322166,128482830,26655748,32600864,16132437,19554361,21210210,7968920,2830878,1172030,166372,191010,2020
"125",3,"MI",77589954,232283411,983241429,253059433,239966557,115542576,145890467,146168693,51696409,18524485,8938599,2152542,1301668,2020
"126",3,"MN",41590737,132355812,547336997,144250272,129360975,58526870,74800684,88330741,31367092,12083827,6352562,1340973,923001,2020
"127",3,"MO",45894424,144025588,594141028,143423680,147540252,69732131,88834125,91160392,33087858,11340420,6848649,1539120,634401,2020
"128",3,"MS",16607365,75975065,289486629,64994558,74169578,35225378,44651916,42272189,16404291,7074770,3657310,858590,178049,2020
"129",3,"MT",8687794,24243661,96405446,27951107,26023567,10567750,11402981,11125623,4889684,2669583,1267289,284030,223832,2020
"130",3,"NC",70380020,251512200,1116148393,258770465,279956380,140271041,177597875,168489807,56573225,20017138,11226545,2387958,857959,2020
"131",3,"ND",5474982,18087405,69211812,18626933,18306527,8486743,8702948,7390618,3678379,2455183,1166926,260754,136801,2020
"132",3,"NE",13750250,46057058,194420164,52694581,49890688,22773392,27570432,24166277,8783371,4926189,2802290,573868,239076,2020
"133",3,"NH",9845701,32204497,138776933,29375488,33631965,16443357,20741063,23656550,10322609,3536424,758493,109306,201678,2020
"134",3,"NJ",73446291,202717829,993021618,285352657,251426462,113496803,139384105,134330288,47225274,14692042,4932140,1137611,1044236,2020
"135",3,"NM",15370476,49587792,239070334,65555107,62354065,28741302,33762948,27032096,11238972,6453316,3002909,660924,268695,2020
"136",3,"NV",24177979,69888173,282421252,84687795,67416788,33058793,44347153,38881985,7070376,3239384,2681404,686109,351465,2020
"137",3,"NY",181596831,424211648,2367942407,713124225,595309447,282805648,347604068,302203320,82593709,27961714,11277095,2435630,2627551,2020
"138",3,"OH",89075759,273296943,1166190568,292828997,288568820,138538809,177465541,179641374,55661883,19983227,10066699,2145237,1289981,2020
"139",3,"OK",27430017,94805432,381823192,93162186,96906768,45931062,56490479,57630090,18843604,7936814,4038656,692947,190586,2020
"140",3,"OR",34604892,95307211,396354729,117249184,101028064,45476071,52120984,52457105,16359042,7111907,3198662,772572,581138,2020
"141",3,"PA",99536539,297482321,1300922284,349404833,327622860,156416897,194844987,179858446,56022935,22173425,11547624,1914167,1116110,2020
"142",3,"RI",7882563,24894202,110018391,28346639,29531095,13194626,16070628,15689409,5135191,1408122,403756,96119,142806,2020
"143",3,"SC",32799398,124808539,540755718,126071245,136712457,68140030,85375242,82656422,25760097,9070144,5486717,1094155,389209,2020
"144",3,"SD",6093641,21255644,90843020,24676543,23813616,10761167,11666794,10572257,4949592,2589429,1378769,308296,126557,2020
"145",3,"TN",44918998,164951312,693758367,158205621,174603805,85939032,108333897,108410074,35591834,12740601,7199540,2077911,656052,2020
"146",3,"TX",184173025,705584170,2702983643,680219022,674891621,317343202,394110594,404092351,144782664,51626321,26608217,6388728,2920923,2020
"147",3,"UT",24206099,73788156,318774908,86579263,78757792,37522678,45365880,42259760,16379041,5813372,3997019,1557966,542137,2020
"148",3,"VA",60937614,203110621,924327530,236043301,226480469,112960955,141409740,135999125,45324929,16632279,7133387,1474774,868571,2020
"149",3,"VT",4741626,14673643,64659261,14350798,16947741,8464493,8770576,10290699,4013081,1177813,444216,91561,108283,2020
"150",3,"WA",59531132,174072189,679984157,188905135,168459628,77152070,98910915,96921777,31786242,10294539,4943161,1251841,1358849,2020
"151",3,"WI",41654376,138566232,561294002,131049386,137050034,67006970,84727713,86092291,33234675,12985270,7024481,1510106,613076,2020
"152",3,"WV",13931486,42049306,171785792,38190870,44617713,21491417,26318782,25083007,9889245,4114672,1668306,300520,111260,2020
"153",3,"WY",4509964,13399883,60721089,17209532,16493540,7450287,6158351,5661826,4147411,2256820,1068831,195867,78624,2020
"154",4,"AK",6811570,15311570,60332003,18754263,17223716,7429397,8030742,5744728,2160786,632979,187949,65944,101499,2020
"155",4,"AL",32704274,113931856,405844110,95898998,104763436,53338347,63278814,58487349,19609704,6877502,2805221,634870,149869,2020
"156",4,"AR",20023915,70390835,246933317,58155637,65430792,31194654,37940881,34938988,11883814,4767966,2070084,458272,92229,2020
"157",4,"AZ",63686877,151462503,530499686,163680591,124899509,57339341,70810373,75225048,24943721,7963908,4382180,793134,461881,2020
"158",4,"CA",355944267,830767083,2616733536,726190469,694718304,285875765,345030686,352514766,136283717,50234916,19236607,4541723,2106583,2020
"159",4,"CO",53763962,117102958,513927890,151679381,128456648,57015753,71501861,71199353,21068716,8049626,3265066,955539,735947,2020
"160",4,"CT",30289889,76890061,301661897,77439024,82883812,37353389,43533325,42010864,13387448,3655880,818693,207223,372239,2020
"161",4,"DC",8270242,12803408,68698335,26107715,17341604,8954796,9261132,5402748,1101034,277559,114090,69743,67914,2020
"162",4,"DE",7921890,21093240,82935016,21528041,21640593,10325681,12658807,11295734,3940655,1107186,359378,40988,37953,2020
"163",4,"FL",168407398,470572352,1691033934,469635048,453521598,208030626,247754904,216257878,64755147,19333757,8469287,2149325,1126364,2020
"164",4,"GA",79597015,235987235,933207534,236081585,235655853,113362672,143624768,131335004,47433114,15175279,7812667,2052106,674486,2020
"165",4,"HI",12151925,30462805,97550258,30021914,27093522,10912843,12958236,14160189,1775882,417821,111370,41103,57378,2020
"166",4,"IA",25172750,69511600,276850516,73016694,72150567,32052508,38036952,37806599,14482469,5801383,2823069,518500,161775,2020
"167",4,"ID",14435581,38190659,140148634,39970287,36959038,15971440,19156768,17470037,6249693,2608411,1354067,304776,104117,2020
"168",4,"IL",113746346,268486054,1100513610,317639654,276335092,124747614,151396430,150220138,52962949,15306036,8475041,2358290,1072366,2020
"169",4,"IN",54589731,146166609,601515711,163151872,154688105,72454971,87193667,81987578,27121236,9320485,4202109,958397,437291,2020
"170",4,"KS",24809036,62536114,245771441,66770240,65157460,27968534,33029872,32797208,12158142,4747529,2437343,525802,179311,2020
"171",4,"KY",35256991,98795069,429507256,105499727,111658481,55778023,66564765,59392807,19401935,7010278,3338374,646344,216522,2020
"172",4,"LA",33532763,106266577,424603779,108490488,112377504,53676692,65339266,54595287,18901402,7614162,2857841,543117,208020,2020
"173",4,"MA",64068433,142996037,675407456,185991607,187061171,81967583,95104269,89000802,27049745,6549567,1490939,375930,815843,2020
"174",4,"MD",50079601,131201939,522180701,143931485,129173872,60483348,77605475,76177728,25529039,6434319,1954060,531103,360272,2020
"175",4,"ME",11211325,28940795,111627434,23432370,28985699,14537660,17633054,18062946,6286708,1906565,591755,75589,115088,2020
"176",4,"MI",89596183,210281267,798597132,220449366,207339616,94812401,115353593,107193938,34682564,11511865,5271546,1267696,714547,2020
"177",4,"MN",47871978,120463392,434350934,114375533,104863057,47567722,59695281,68912341,24654213,8938630,4198629,713891,431637,2020
"178",4,"MO",51783573,132009987,491112486,125808368,123922494,57181717,71653466,71776590,25996063,8693459,4718894,999880,361555,2020
"179",4,"MS",18512384,71083516,246695345,56873990,65776276,30874479,38202517,34799824,12518665,4835186,2140622,563492,110294,2020
"180",4,"MT",9533300,22335850,85505592,25389330,22888467,9109935,10342814,10011290,4322171,2279683,890171,151894,119837,2020
"181",4,"NC",77412427,234096173,952704328,234221098,246150290,120413818,148514886,137827827,43553723,13897606,6264269,1415881,444930,2020
"182",4,"ND",6173905,16628405,58614343,15657907,15407460,7038139,7432074,6666842,3319976,2011602,865971,159273,55099,2020
"183",4,"NE",15429427,42448613,164415709,45229522,42571415,19376433,23375574,20833817,7358211,3521330,1684922,334815,129670,2020
"184",4,"NH",10936358,29757382,119288344,26144774,29785283,14696596,18514737,19708387,7869360,1986475,406323,57814,118595,2020
"185",4,"NJ",83052301,184203299,786321203,232197261,207799769,90842100,108275848,99424501,33017047,9913855,3420091,834189,596542,2020
"186",4,"NM",17316200,45546640,199637323,55907641,53558092,23882517,27329645,22290979,8966298,4962598,2144394,466625,128534,2020
"187",4,"NV",27656266,63375494,233570031,72555289,57674649,27025366,34132835,30708368,6133311,2786722,1940039,418136,195316,2020
"188",4,"NY",205703515,380562755,1816687343,542395384,475875844,218313216,263451712,228318431,59882807,18484703,6799279,1677890,1488077,2020
"189",4,"OH",98919327,251763933,982772823,258415240,250182576,118775648,147039541,144409882,42422638,13792237,5748954,1350045,636062,2020
"190",4,"OK",30924584,87367786,316192716,79670854,82127447,37982830,46085845,46341467,14898447,5912037,2582341,468777,122671,2020
"191",4,"OR",38447131,87274259,341995412,106659526,88616118,38301793,43127369,43791756,13537277,5119702,2014713,484884,342274,2020
"192",4,"PA",111558079,272653721,1057017002,289111107,276590297,128050883,157246851,141321775,40672166,14912964,7240361,1288569,582029,2020
"193",4,"RI",8817030,22902420,91476589,24696256,25239029,11022781,13150515,12488551,3778814,759244,207497,52547,81355,2020
"194",4,"SC",35455059,117068751,481801987,124939128,124678006,59234021,72966254,68866801,20578186,6515308,3159895,659908,204480,2020
"195",4,"SD",6809417,19657633,78355383,21456700,20313138,9115417,10278572,9593837,4350392,2069185,944595,162590,70957,2020
"196",4,"TN",50219678,152880622,601760534,147580285,156795583,75295653,91945507,88074916,27164222,9001869,4244304,1296902,361293,2020
"197",4,"TX",210955845,650099505,2183019662,569997689,562110963,252768729,308375855,314204912,112506829,39041076,18252265,4170209,1591135,2020
"198",4,"UT",26983016,67850134,287265085,83670093,72180917,33962442,39397903,35924440,13452609,4639388,3036575,755572,245146,2020
"199",4,"VA",68119468,187411082,764204114,199048751,195457173,94327973,115080281,108225967,34802339,11291195,4565362,905478,499595,2020
"200",4,"VT",5279582,13509388,55119663,12349565,14867961,7461622,7904735,8464143,2962429,765503,234667,45769,63269,2020
"201",4,"WA",66533878,159533852,589135169,176085016,153024350,65478909,81035539,77061519,23949570,7664919,3373679,713959,747709,2020
"202",4,"WI",46834031,127573009,469343075,116842636,115848260,55339913,69289288,70968534,26222068,9306687,4359349,831351,334989,2020
"203",4,"WV",15016932,39158028,149693357,34101855,40072713,19182303,23384241,21222517,7572632,2836018,1072564,182065,66449,2020
"204",4,"WY",4969609,12362501,52853053,15478262,14460946,6363556,5447831,4808318,3583858,1804433,751964,113545,40340,2020
"205",5,"AK",6383035,16477543,69901724,21015492,19195126,8764900,9515001,6899024,3033708,1031247,269179,69681,108366,2020
"206",5,"AL",26763032,124760969,472803602,105638959,116515210,63192541,76605137,72237604,24798345,9128710,3706424,846154,134518,2020
"207",5,"AR",17111054,76317521,291300599,68778729,75472805,36767336,44712075,41318022,14829093,6166401,2639229,530810,86099,2020
"208",5,"AZ",56036149,166284877,607851755,172830229,144694279,69509831,85147463,88775518,28980518,10281371,6157690,1028966,445890,2020
"209",5,"CA",320213633,906054762,3006554768,804686667,767608735,339679937,413145247,420455466,167058384,63188258,23850287,5080955,1800832,2020
"210",5,"CO",45263053,131299431,641671350,181222057,159467001,74042942,91987435,89691527,27612305,10944728,4766229,1249489,687637,2020
"211",5,"CT",26454093,84298522,373190146,98284209,99755638,45953026,53538032,51843406,16969343,5014795,1134895,302372,394430,2020
"212",5,"DC",7813468,13962637,83410538,32908226,20181887,10725151,11122472,6348084,1489723,351638,131875,74610,76872,2020
"213",5,"DE",6980964,23001337,101021536,26635698,25664466,12437173,15467027,13783757,5000052,1563322,405383,37622,27036,2020
"214",5,"FL",138634096,521644979,2014836760,542614655,520656862,254905249,307171394,266737422,81332067,25960810,11597483,2609344,1251474,2020
"215",5,"GA",67195901,258907824,1076358769,256460321,265221154,133564625,171398083,158218522,57512103,19524163,10896834,2842788,720176,2020
"216",5,"HI",11477485,32557736,109539135,33844194,29602990,12376882,14691931,16393585,2029174,402458,104837,37910,55174,2020
"217",5,"IA",21888281,75952214,333148355,87092528,86971433,38437211,45441037,45922608,17782244,7411250,3367052,577627,145365,2020
"218",5,"ID",12693968,41686480,163644376,43614051,43043034,19616424,23241577,20625107,7678037,3504749,1864109,353727,103561,2020
