"Month","State.Postal.Code","cases"
"262",7,"TX",9496585
"263",7,"UT",988673
"264",7,"VA",2330822
"265",7,"VT",41004
"266",7,"WA",1439072
"267",7,"WI",1357567
"268",7,"WV",145677
"269",7,"WY",63980
"270",8,"AK",154871
"271",8,"AL",3355858
"272",8,"AR",1633930
"273",8,"AZ",5951480
"274",8,"CA",19168704
"275",8,"CO",1642292
"276",8,"CT",1585462
"277",8,"DC",407849
"278",8,"DE",503506
"279",8,"FL",17469880
"280",8,"GA",6755964
"281",8,"HI",156872
"282",8,"IA",1651099
"283",8,"ID",848552
"284",8,"IL",6477545
"285",8,"IN",2546792
"286",8,"KS",1086757
"287",8,"KY",1272814
"288",8,"LA",4228513
"289",8,"MA",3824563
"290",8,"MD",3103859
"291",8,"ME",129919
"292",8,"MI",3165462
"293",8,"MN",2020252
"294",8,"MO",2121856
"295",8,"MS",2235453
"296",8,"MT",177325
"297",8,"NC",4509937
"298",8,"ND",273194
"299",8,"NE",939396
"300",8,"NH",215935
"301",8,"NJ",5859177
"302",8,"NM",721859
"303",8,"NV",1877885
"304",8,"NY",13329072
"305",8,"OH",3343527
"306",8,"OK",1492560
"307",8,"OR",713551
"308",8,"PA",3985340
"309",8,"RI",635058
"310",8,"SC",3278566
"311",8,"SD",326993
"312",8,"TN",4014961
"313",8,"TX",17220155
"314",8,"UT",1445189
"315",8,"VA",3291471
"316",8,"VT",46881
"317",8,"WA",2150641
"318",8,"WI",2165905
"319",8,"WV",262522
"320",8,"WY",102356
"321",9,"AK",220233
"322",9,"AL",4227298
"323",9,"AR",2173272
"324",9,"AZ",6320568
"325",9,"CA",23157862
"326",9,"CO",1909117
"327",9,"CT",1651324
"328",9,"DC",441301
"329",9,"DE",572135
"330",9,"FL",20108236
"331",9,"GA",8427889
"332",9,"HI",327696
"333",9,"IA",2312934
"334",9,"ID",1106607
"335",9,"IL",8067391
"336",9,"IN",3290139
"337",9,"KS",1554737
"338",9,"KY",1873371
"339",9,"LA",4777934
"340",9,"MA",3785693
"341",9,"MD",3532754
"342",9,"ME",148402
"343",9,"MI",3764054
"344",9,"MN",2608776
"345",9,"MO",3260351
"346",9,"MS",2734173
"347",9,"MT",294470
"348",9,"NC",5679982
"349",9,"ND",496720
"350",9,"NE",1186725
"351",9,"NH",233082
"352",9,"NJ",5995211
"353",9,"NM",815678
"354",9,"NV",2237427
"355",9,"NY",13535662
"356",9,"OH",4190398
"357",9,"OK",2178612
"358",9,"OR",900076
"359",9,"PA",4544303
"360",9,"RI",698781
"361",9,"SC",4017202
"362",9,"SD",529111
"363",9,"TN",5211831
"364",9,"TX",21291250
"365",9,"UT",1830446
"366",9,"VA",4069810
"367",9,"VT",50777
"368",9,"WA",2537498
"369",9,"WI",3030848
"370",9,"WV",394496
"371",9,"WY",140056
"372",10,"AK",367261
"373",10,"AL",5332670
"374",10,"AR",3025302
"375",10,"AZ",7142027
"376",10,"CA",27164081
"377",10,"CO",2651624
"378",10,"CT",1961272
"379",10,"DC",503658
"380",10,"DE",706558
"381",10,"FL",23278677
"382",10,"GA",10651435
"383",10,"HI",433606
"384",10,"IA",3291856
"385",10,"ID",1634407
"386",10,"IL",10729137
"387",10,"IN",4586771
"388",10,"KS",2245140
"389",10,"KY",2751940
"390",10,"LA",5504935
"391",10,"MA",4449113
"392",10,"MD",4187127
"393",10,"ME",183375
"394",10,"MI",4999083
"395",10,"MN",3740804
"396",10,"MO",4918497
"397",10,"MS",3374666
"398",10,"MT",685645
"399",10,"NC",7503763
"400",10,"ND",969332
"401",10,"NE",1762828
"402",10,"NH",296949
"403",10,"NJ",6855288
"404",10,"NM",1131556
"405",10,"NV",2776684
"406",10,"NY",15087402
"407",10,"OH",5591170
"408",10,"OK",3264217
"409",10,"OR",1208025
"410",10,"PA",5751331
"411",10,"RI",871329
"412",10,"SC",5027463
"413",10,"SD",1007707
"414",10,"TN",6915907
"415",10,"TX",26765048
"416",10,"UT",2871556
"417",10,"VA",5085677
"418",10,"VT",60075
"419",10,"WA",3148094
"420",10,"WI",5505967
"421",10,"WV",609037
"422",10,"WY",279238
"423",11,"AK",721036
"424",11,"AL",6584507
"425",11,"AR",4031431
"426",11,"AZ",8449500
"427",11,"CA",31809852
"428",11,"CO",5058076
"429",11,"CT",2784189
"430",11,"DC",575533
"431",11,"DE",883967
"432",11,"FL",26828632
"433",11,"GA",12393149
"434",11,"HI",500379
"435",11,"IA",5542766
"436",11,"ID",2510599
"437",11,"IL",17351219
"438",11,"IN",7754614
"439",11,"KS",3684696
"440",11,"KY",4313753
"441",11,"LA",6223001
"442",11,"MA",5713002
"443",11,"MD",5084196
"444",11,"ME",274062
"445",11,"MI",8611257
"446",11,"MN",6851262
"447",11,"MO",7593756
"448",11,"MS",4059206
"449",11,"MT",1437310
"450",11,"NC",9508648
"451",11,"ND",1905017
"452",11,"NE",3011117
"453",11,"NH",458040
"454",11,"NJ",8546314
"455",11,"NM",2072561
"456",11,"NV",3718323
"457",11,"NY",17164028
"458",11,"OH",9233817
"459",11,"OK",4710466
"460",11,"OR",1751804
"461",11,"PA",8392893
"462",11,"RI",1314015
